Run,Model,Dataset,Accuracy,F1 Score,ROC AUC
vit_b_16_Dikumari,vit_b_16,Dikumari,0.6,0.595959595959596,0.6483516483516484
vit_b_16_Kasaisa,vit_b_16,Kasaisa,0.9166666666666666,0.916083916083916,0.9375
vit_b_16_Kukareta,vit_b_16,Kukareta,0.55,0.5396419437340154,0.6593406593406593
vit_b_16_Combined,vit_b_16,Combined,0.8125,0.8123167155425219,0.8928571428571429
resnet18_Dikumari,resnet18,Dikumari,0.7,0.696969696969697,0.875
resnet18_Kasaisa,resnet18,Kasaisa,0.8333333333333334,0.8333333333333334,0.9285714285714286
resnet18_Kukareta,resnet18,Kukareta,0.75,0.7442455242966752,0.7916666666666666
resnet18_Combined,resnet18,Combined,0.84375,0.8423645320197044,0.9428571428571428
mobilenet_v3_Dikumari,mobilenet_v3,Dikumari,0.6,0.5833333333333333,0.7474747474747474
mobilenet_v3_Kasaisa,mobilenet_v3,Kasaisa,0.7916666666666666,0.7883597883597884,0.859375
mobilenet_v3_Kukareta,mobilenet_v3,Kukareta,0.65,0.6266666666666667,0.81
mobilenet_v3_Combined,mobilenet_v3,Combined,0.84375,0.8412698412698413,0.8993157380254155
efficientnet_b0_Dikumari,efficientnet_b0,Dikumari,0.7,0.6703296703296704,0.7802197802197802
efficientnet_b0_Kasaisa,efficientnet_b0,Kasaisa,0.8333333333333334,0.8285714285714285,0.953125
efficientnet_b0_Kukareta,efficientnet_b0,Kukareta,0.8,0.7619047619047619,0.8214285714285714
efficientnet_b0_Combined,efficientnet_b0,Combined,0.796875,0.7927770859277709,0.855327468230694
